"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/20/2024 18:12:52:141 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0","0","0","47822","1"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","332","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","1.9657298525172182","15","true",,,,
"2","1.48890038861278","15","true",,,,
"3","6.668141327738746","15","true",,,,
"4","5.891967483781854","15","true",,,,
"5","6.733454424621282","15","true",,,,
"6","5.992391058500465","15","true",,,,
"7","7.779474116008016","15","true",,,,
"8","7.110297788718263","15","true",,,,
"9","7.110297788718261","15","true",,,,
"10","7.110297788718267","15","true",,,,
"11","5.647282303179321","15","true",,,,
"12","5.872693708893508","15","true",,,,
"13","5.872693708893519","15","true",,,,
"14","5.872693708893516","15","true",,,,
"15","5.872693708893522","15","true",,,,
"16","5.6472823031793205","15","true",,,,
"17","6.517761616400487","15","true",,,,
"18","6.517761616400494","15","true",,,,
"19","6.962620394162714","15","true",,,,
"20","6.962620394162714","15","true",,,,
"21","7.660255386479961","15","true",,,,
"22","7.66025538647997","15","true",,,,
"23","7.607702820633538","15","true",,,,
"24","7.607702820633524","15","true",,,,
"25","7.544099415121764","15","true",,,,
"26","8.549541197012553","15","true",,,,
"27","8.349032790430728","15","true",,,,
"28","10.782008490080148","15","true",,,,
"29","17.930410932423822","15","true",,,,
"30","33.26983253913","15","true",,,,
"31","52.77634431443914","15","true",,,,
"32","84.21260827748208","15","true",,,,
"33","104.93555461865581","15","true",,,,
"34","134.45697505934086","15","true",,,,
"35","165.22777093625848","15","true",,,,
"36","186.43039888702535","15","true",,,,
"37","192.28985471249763","15","true",,,,
"38","202.7516705135184","15","true",,,,
"39","219.19176004334938","15","true",,,,
"40","224.21013479508153","15","true",,,,
"41","247.50871149147082","15","true",,,,
"42","260.39649624831054","15","true",,,,
"43","273.9593940776399","15","true",,,,
"44","290.9152916795834","15","true",,,,
"45","290.91529167958333","15","true",,,,
"46","288.5125327831443","15","true",,,,
"47","286.2981890340565","15","true",,,,
"48","299.3591022421615","15","true",,,,
"49","302.1371158020675","15","true",,,,
"50","304.165908717806","15","true",,,,
