"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/20/2024 16:50:22:019 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0","1","0","47822","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","272","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","1.9657298525172138","15","true",,,,
"2","1.6809972840592087","15","true",,,,
"3","6.0312842207414","15","true",,,,
"4","9.393595274962001","15","true",,,,
"5","10.329309936787153","15","true",,,,
"6","11.64290817188743","15","true",,,,
"7","14.437897219425901","15","true",,,,
"8","15.834276411119271","15","true",,,,
"9","16.875030089038138","15","true",,,,
"10","18.33754738451039","15","true",,,,
"11","26.770808795654812","15","true",,,,
"12","28.89821322979202","15","true",,,,
"13","34.01284607961433","15","true",,,,
"14","38.23123127143165","15","true",,,,
"15","50.329030168901184","15","true",,,,
"16","54.494297864929905","15","true",,,,
"17","66.3061899649104","15","true",,,,
"18","77.77857800556285","15","true",,,,
"19","95.51605539107976","15","true",,,,
"20","107.55805724716812","15","true",,,,
"21","131.39244384971542","15","true",,,,
"22","152.71326455831564","15","true",,,,
"23","171.18063314911956","15","true",,,,
"24","187.86091750561442","15","true",,,,
"25","197.43506911470786","15","true",,,,
"26","222.92876202778206","15","true",,,,
"27","234.37233635101143","15","true",,,,
"28","242.32829060127543","15","true",,,,
"29","247.06737877999655","15","true",,,,
"30","250.13737019617216","15","true",,,,
"31","256.74665758797573","15","true",,,,
"32","256.74665758797585","15","true",,,,
"33","258.2109433022617","15","true",,,,
"34","258.21094330226146","15","true",,,,
"35","259.64624727822104","15","true",,,,
"36","260.6820688956446","15","true",,,,
"37","260.68206889564465","15","true",,,,
"38","260.6820688956446","15","true",,,,
"39","260.68206889564465","15","true",,,,
"40","260.6820688956446","15","true",,,,
"41","260.6820688956446","15","true",,,,
"42","260.6820688956447","15","true",,,,
"43","260.68206889564465","15","true",,,,
"44","260.6820688956445","15","true",,,,
"45","260.6820688956447","15","true",,,,
"46","260.6820688956447","15","true",,,,
"47","260.68206889564453","15","true",,,,
"48","260.68206889564453","15","true",,,,
"49","260.6820688956445","15","true",,,,
"50","260.6820688956446","15","true",,,,
