"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/20/2024 15:11:33:401 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","belief-global"
"0","1000","0","0","0","1"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-22","264","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","5.121177143204587","15","true",,,,
"2","4.214312856948597","15","true",,,,
"3","4.254014597928316","15","true",,,,
"4","-0.1501723076883977","15","true",,,,
"5","-1.1683295745907614","15","true",,,,
"6","-1.5990053322228328","15","true",,,,
"7","-1.1037244498546168","15","true",,,,
"8","-1.0775090598012897","15","true",,,,
"9","0.11133602734908658","15","true",,,,
"10","-0.4929796975998708","15","true",,,,
"11","0.4254798818922641","15","true",,,,
"12","-0.29450526026202156","15","true",,,,
"13","-1.535303139798261","15","true",,,,
"14","-0.9927510807775326","15","true",,,,
"15","-0.27783301626747203","15","true",,,,
"16","0.12795519939061206","15","true",,,,
"17","0.16160886721300016","15","true",,,,
"18","-0.7448444731144295","15","true",,,,
"19","-0.13544215243925295","15","true",,,,
"20","-1.3783200721097724","15","true",,,,
"21","0.37767720253878934","15","true",,,,
"22","-4.941824694287847","15","true",,,,
"23","-7.550440629687452","15","true",,,,
"24","-19.08612280128836","15","true",,,,
"25","-12.899217362134191","15","true",,,,
"26","-21.18145436871534","15","true",,,,
"27","-7.626795129326146","15","true",,,,
"28","-10.42560371687875","15","true",,,,
"29","-12.65874112474714","15","true",,,,
"30","-1.1466506593124035","15","true",,,,
"31","-4.996302010193774","15","true",,,,
"32","-0.8764284778809053","15","true",,,,
"33","-5.591642908435807","15","true",,,,
"34","-7.342591074812062","15","true",,,,
"35","15.153050608404692","15","true",,,,
"36","14.226885712013843","15","true",,,,
"37","13.31518478282093","15","true",,,,
"38","16.110449048308542","15","true",,,,
"39","16.455770908743816","15","true",,,,
"40","25.713697731409294","15","true",,,,
"41","29.401043604670498","15","true",,,,
"42","46.58840251677898","15","true",,,,
"43","72.44170534853956","15","true",,,,
"44","104.83815885579969","15","true",,,,
"45","113.87942864336938","15","true",,,,
"46","158.35181281001795","15","true",,,,
"47","191.1781601187577","15","true",,,,
"48","186.87055669303217","15","true",,,,
"49","238.03475978251032","15","true",,,,
"50","224.50372749592847","15","true",,,,
