"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/20/2024 12:00:16:226 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","belief-global"
"0","1000","0","1","0","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","108","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","5.121177143204588","15","true",,,,
"2","5.7407044957455735","15","true",,,,
"3","9.240630052821755","15","true",,,,
"4","17.390317578820234","15","true",,,,
"5","22.406638937228404","15","true",,,,
"6","26.445834719635155","15","true",,,,
"7","31.583170388120923","15","true",,,,
"8","35.975357889210784","15","true",,,,
"9","47.41567141335039","15","true",,,,
"10","52.56791826862815","15","true",,,,
"11","56.50319911119659","15","true",,,,
"12","61.304937779150954","15","true",,,,
"13","72.12230578545213","15","true",,,,
"14","79.34709120805152","15","true",,,,
"15","85.47129572693511","15","true",,,,
"16","85.46505284446953","15","true",,,,
"17","88.53088874968826","15","true",,,,
"18","89.32218618935778","15","true",,,,
"19","90.29153381984831","15","true",,,,
"20","91.92709184121239","15","true",,,,
"21","95.68887676332382","15","true",,,,
"22","96.45757706544575","15","true",,,,
"23","96.30331407603609","15","true",,,,
"24","96.30331407603602","15","true",,,,
"25","96.30331407603602","15","true",,,,
"26","96.3033140760361","15","true",,,,
"27","98.53136752171828","15","true",,,,
"28","98.97805559042136","15","true",,,,
"29","99.63091880012438","15","true",,,,
"30","99.63091880012445","15","true",,,,
"31","99.63091880012432","15","true",,,,
"32","99.63091880012435","15","true",,,,
"33","99.63091880012446","15","true",,,,
"34","99.63091880012438","15","true",,,,
"35","99.63091880012446","15","true",,,,
"36","99.63091880012428","15","true",,,,
"37","99.63091880012436","15","true",,,,
"38","99.6309188001243","15","true",,,,
"39","99.63091880012436","15","true",,,,
"40","99.63091880012435","15","true",,,,
"41","99.63091880012442","15","true",,,,
"42","99.63091880012449","15","true",,,,
"43","99.63091880012429","15","true",,,,
"44","99.63091880012433","15","true",,,,
"45","99.63091880012438","15","true",,,,
"46","99.63091880012439","15","true",,,,
"47","99.63091880012442","15","true",,,,
"48","99.63091880012443","15","true",,,,
"49","99.63091880012436","15","true",,,,
"50","99.63091880012453","15","true",,,,
