"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/20/2024 16:11:09:508 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","belief-global"
"0","1000","0","0","1","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","198","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","5.121177143204588","15","true",,,,
"2","13.368613234659446","15","true",,,,
"3","18.63024511621913","15","true",,,,
"4","26.29453226648816","15","true",,,,
"5","23.289751363500297","15","true",,,,
"6","26.29278027391665","15","true",,,,
"7","34.54075322121121","15","true",,,,
"8","45.59964660414996","15","true",,,,
"9","47.24339813588729","15","true",,,,
"10","48.30543082229999","15","true",,,,
"11","46.116890150652026","15","true",,,,
"12","54.438116852954","15","true",,,,
"13","63.6154569962382","15","true",,,,
"14","72.56155666484914","15","true",,,,
"15","77.01026167357577","15","true",,,,
"16","87.45152290511312","15","true",,,,
"17","103.94500993304715","15","true",,,,
"18","118.88834380536089","15","true",,,,
"19","122.99057409352744","15","true",,,,
"20","129.42295174594923","15","true",,,,
"21","138.1904947160589","15","true",,,,
"22","146.73827183025355","15","true",,,,
"23","157.6898052679845","15","true",,,,
"24","157.68980526798475","15","true",,,,
"25","160.17367855579886","15","true",,,,
"26","164.90442013977145","15","true",,,,
"27","164.90442013977187","15","true",,,,
"28","161.96874088943295","15","true",,,,
"29","168.91784092407124","15","true",,,,
"30","168.8058545325864","15","true",,,,
"31","180.17604036766625","15","true",,,,
"32","179.5517666538905","15","true",,,,
"33","174.59083156399794","15","true",,,,
"34","176.9600291295081","15","true",,,,
"35","176.91891023295256","15","true",,,,
"36","173.74370791072542","15","true",,,,
"37","171.5776295649655","15","true",,,,
"38","168.6848297804233","15","true",,,,
"39","161.21699757202984","15","true",,,,
"40","157.3416255993827","15","true",,,,
"41","149.8640692052329","15","true",,,,
"42","136.5745321053794","15","true",,,,
"43","126.00023107148367","15","true",,,,
"44","126.60651973733727","15","true",,,,
"45","126.84922877364136","15","true",,,,
"46","123.64547111152099","15","true",,,,
"47","116.30200956778837","15","true",,,,
"48","108.01223693424649","15","true",,,,
"49","111.83988207905517","15","true",,,,
"50","110.33422645701981","15","true",,,,
