"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 06:38:48:154 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0.5","0","0.5","13523","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","201","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","2.091364539124109","15","true",,,,
"2","1.957373098941421","15","true",,,,
"3","4.780884121026422","15","true",,,,
"4","5.64118524292629","15","true",,,,
"5","3.6566705659772647","15","true",,,,
"6","5.092868604685952","15","true",,,,
"7","12.97922628962889","15","true",,,,
"8","20.860569975482612","15","true",,,,
"9","27.54237488623102","15","true",,,,
"10","20.614371070134897","15","true",,,,
"11","23.452620377887524","15","true",,,,
"12","27.810157186152768","15","true",,,,
"13","32.245925176787374","15","true",,,,
"14","40.73695746643054","15","true",,,,
"15","44.77465775321994","15","true",,,,
"16","49.92103080489455","15","true",,,,
"17","59.19854583482524","15","true",,,,
"18","63.15158662560557","15","true",,,,
"19","68.45229752710675","15","true",,,,
"20","76.23496592721673","15","true",,,,
"21","77.67695623995485","15","true",,,,
"22","88.22496218365897","15","true",,,,
"23","83.24136956612699","15","true",,,,
"24","95.66239252631622","15","true",,,,
"25","101.2325692680776","15","true",,,,
"26","90.63568448813051","15","true",,,,
"27","105.39530596983992","15","true",,,,
"28","122.58229718366388","15","true",,,,
"29","124.41622905079277","15","true",,,,
"30","138.83898082772288","15","true",,,,
"31","138.48685724040897","15","true",,,,
"32","141.0655428121907","15","true",,,,
"33","150.7226030893631","15","true",,,,
"34","149.7542537710652","15","true",,,,
"35","154.1203846734115","15","true",,,,
"36","151.80920619512335","15","true",,,,
"37","150.37410734639855","15","true",,,,
"38","151.27725035639432","15","true",,,,
"39","148.38767981598727","15","true",,,,
"40","158.01529488141182","15","true",,,,
"41","182.9552277802978","15","true",,,,
"42","173.60840287113203","15","true",,,,
"43","159.3058166615421","15","true",,,,
"44","186.6158479178993","15","true",,,,
"45","185.40816012127092","15","true",,,,
"46","163.271301253228","15","true",,,,
"47","163.8366888151832","15","true",,,,
"48","158.12690256143662","15","true",,,,
"49","160.4706505065663","15","true",,,,
"50","142.5000192004925","15","true",,,,
