"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 01:16:35:884 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"1","500","0","0","0","13523","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","187","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","2.091364539124109","15","true",,,,
"2","2.588138847248744","15","true",,,,
"3","6.696584923833162","15","true",,,,
"4","19.644683691816446","15","true",,,,
"5","27.738943496488407","15","true",,,,
"6","37.041748359278365","15","true",,,,
"7","36.26779204895336","15","true",,,,
"8","40.93371615435199","15","true",,,,
"9","45.66327526747509","15","true",,,,
"10","54.336237118791864","15","true",,,,
"11","61.82150241627315","15","true",,,,
"12","72.32870932991426","15","true",,,,
"13","81.46688292155872","15","true",,,,
"14","83.6080672210577","15","true",,,,
"15","93.7762446790658","15","true",,,,
"16","95.98517521858001","15","true",,,,
"17","105.9381417921099","15","true",,,,
"18","112.29512224252274","15","true",,,,
"19","122.38061641957435","15","true",,,,
"20","123.3277334745207","15","true",,,,
"21","138.13601943788484","15","true",,,,
"22","140.83009368819125","15","true",,,,
"23","144.70988311743997","15","true",,,,
"24","141.24883544711685","15","true",,,,
"25","145.04568384185947","15","true",,,,
"26","148.24048881848398","15","true",,,,
"27","149.15310655496074","15","true",,,,
"28","150.83048456789092","15","true",,,,
"29","152.77128430382214","15","true",,,,
"30","154.34773710271526","15","true",,,,
"31","158.0272125770732","15","true",,,,
"32","158.02721257707307","15","true",,,,
"33","170.18710174510161","15","true",,,,
"34","169.04911285638264","15","true",,,,
"35","170.97809857681148","15","true",,,,
"36","170.97809857681136","15","true",,,,
"37","166.23324843874528","15","true",,,,
"38","172.66309573707312","15","true",,,,
"39","177.4675996639692","15","true",,,,
"40","178.7165428447518","15","true",,,,
"41","178.71654284475218","15","true",,,,
"42","178.77018548560753","15","true",,,,
"43","178.77018548560758","15","true",,,,
"44","179.7841194928098","15","true",,,,
"45","180.68106550525744","15","true",,,,
"46","177.92862790580418","15","true",,,,
"47","177.37942703449616","15","true",,,,
"48","179.2767348149082","15","true",,,,
"49","179.27673481490822","15","true",,,,
"50","179.27673481490814","15","true",,,,
