"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 08:03:15:181 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0.5","0","0","31238","0.5"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-6.6","10","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","7.906516130283086","15","true",,,,
"2","5.041729286324981","15","true",,,,
"3","6.2420779133471775","15","true",,,,
"4","7.630842950713625","15","true",,,,
"5","6.4756917333556","15","true",,,,
"6","8.486786571840042","15","true",,,,
"7","5.840189279384343","15","true",,,,
"8","5.381196089091147","15","true",,,,
"9","5.549220323455552","15","true",,,,
"10","6.674638058014869","15","true",,,,
"11","6.1443516555450834","15","true",,,,
"12","2.659839782381918","15","true",,,,
"13","4.243170555203456","15","true",,,,
"14","4.013048427969201","15","true",,,,
"15","4.525944567028151","15","true",,,,
"16","3.9542108846008737","15","true",,,,
"17","1.6075833249398204","15","true",,,,
"18","4.486204370145263","15","true",,,,
"19","7.236851478423279","15","true",,,,
"20","2.541193896560308","15","true",,,,
"21","0.9254392662490245","15","true",,,,
"22","4.297419656174504","15","true",,,,
"23","3.006611808578364","15","true",,,,
"24","4.465438614414089","15","true",,,,
"25","2.1381200558620512","15","true",,,,
"26","-0.25437677793302377","15","true",,,,
"27","1.2686123389270447","15","true",,,,
"28","2.725989359087821","15","true",,,,
"29","1.347167357583638","15","true",,,,
"30","3.553198957678551","15","true",,,,
"31","7.3011311875561535","15","true",,,,
"32","2.0889794760074665","15","true",,,,
"33","7.473979654079226","15","true",,,,
"34","2.231917419950503","15","true",,,,
"35","0.9366741820685133","15","true",,,,
"36","4.376099309876551","15","true",,,,
"37","4.047841504808961","15","true",,,,
"38","0.9995923975634666","15","true",,,,
"39","1.5910723104529014","15","true",,,,
"40","8.02320096047993","15","true",,,,
"41","4.032464514531625","15","true",,,,
"42","0.7890912726365823","15","true",,,,
"43","3.3530982798228686","15","true",,,,
"44","-5.1048147056707815","15","true",,,,
"45","3.155976651981956","15","true",,,,
"46","-3.7200265778414416","15","true",,,,
"47","-0.9820003980753905","15","true",,,,
"48","-1.5823695388922785","15","true",,,,
"49","-5.167790269382255","15","true",,,,
"50","1.3121556760568176","15","true",,,,
