"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 02:11:38:543 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","1","0","0","31238","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","134","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","7.906516130283086","15","true",,,,
"2","4.923747482871938","15","true",,,,
"3","3.65406351920694","15","true",,,,
"4","5.140825749472407","15","true",,,,
"5","6.532105518794748","15","true",,,,
"6","6.2220679926268865","15","true",,,,
"7","5.223875050456144","15","true",,,,
"8","6.559527322836402","15","true",,,,
"9","11.438821280419972","15","true",,,,
"10","10.51700271547093","15","true",,,,
"11","11.690996956642886","15","true",,,,
"12","12.0090787592735","15","true",,,,
"13","14.538071700163922","15","true",,,,
"14","19.110557984571198","15","true",,,,
"15","17.48061348648262","15","true",,,,
"16","17.43362693962138","15","true",,,,
"17","19.505480338063663","15","true",,,,
"18","19.10435055157068","15","true",,,,
"19","16.439861188570287","15","true",,,,
"20","17.4006262992205","15","true",,,,
"21","20.34074799565966","15","true",,,,
"22","23.16841194782778","15","true",,,,
"23","22.67010915314058","15","true",,,,
"24","22.86065451507072","15","true",,,,
"25","31.018872535690853","15","true",,,,
"26","31.142688533265016","15","true",,,,
"27","37.560100493055955","15","true",,,,
"28","33.84976854752939","15","true",,,,
"29","39.782715307294986","15","true",,,,
"30","49.86388338692624","15","true",,,,
"31","68.18141516939872","15","true",,,,
"32","74.26162227743352","15","true",,,,
"33","81.6257699684822","15","true",,,,
"34","69.45856721421546","15","true",,,,
"35","66.67494485968956","15","true",,,,
"36","73.91981290884493","15","true",,,,
"37","81.9458720746565","15","true",,,,
"38","85.81983680530337","15","true",,,,
"39","89.12289431146152","15","true",,,,
"40","99.45182226540223","15","true",,,,
"41","100.5643796870888","15","true",,,,
"42","104.60113555429338","15","true",,,,
"43","107.80285438664767","15","true",,,,
"44","98.47826953029795","15","true",,,,
"45","96.22422913689776","15","true",,,,
"46","100.4821076542519","15","true",,,,
"47","121.88983632797745","15","true",,,,
"48","131.49478299141379","15","true",,,,
"49","126.52946420287904","15","true",,,,
"50","127.48247984953281","15","true",,,,
