"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 04:37:59:888 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0","0.5","0","47822","0.5"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-1.2","359","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","1.9657298525172147","15","true",,,,
"2","1.315277892025131","15","true",,,,
"3","1.2724418198394882","15","true",,,,
"4","-0.14936829221339853","15","true",,,,
"5","0.785740243603618","15","true",,,,
"6","2.0468659810977696","15","true",,,,
"7","3.661967915220477","15","true",,,,
"8","3.8362018067785693","15","true",,,,
"9","5.283923345286741","15","true",,,,
"10","6.168024488195749","15","true",,,,
"11","5.139491836338611","15","true",,,,
"12","5.13949183633862","15","true",,,,
"13","5.400350594023655","15","true",,,,
"14","5.90720430153039","15","true",,,,
"15","6.383319405955203","15","true",,,,
"16","8.291194946243689","15","true",,,,
"17","7.954594102199442","15","true",,,,
"18","11.884584799138768","15","true",,,,
"19","14.0257622062111","15","true",,,,
"20","17.009126522689638","15","true",,,,
"21","27.607058375644435","15","true",,,,
"22","31.432127922685694","15","true",,,,
"23","53.313426277214695","15","true",,,,
"24","67.32144411528927","15","true",,,,
"25","79.54688509074798","15","true",,,,
"26","87.63358703540389","15","true",,,,
"27","118.76569172224032","15","true",,,,
"28","136.88353272314933","15","true",,,,
"29","162.46571991164345","15","true",,,,
"30","173.21310560626594","15","true",,,,
"31","188.55057824770066","15","true",,,,
"32","210.29094741053194","15","true",,,,
"33","232.39782073168757","15","true",,,,
"34","246.02466537801033","15","true",,,,
"35","245.27853615020217","15","true",,,,
"36","256.7893709214879","15","true",,,,
"37","266.09116978175723","15","true",,,,
"38","282.9661873646451","15","true",,,,
"39","291.7099520064829","15","true",,,,
"40","301.0832834324058","15","true",,,,
"41","301.08328343240566","15","true",,,,
"42","309.8077304814494","15","true",,,,
"43","311.5953238832355","15","true",,,,
"44","317.43085349798145","15","true",,,,
"45","326.37828451789153","15","true",,,,
"46","330.4567930777503","15","true",,,,
"47","336.57745155568324","15","true",,,,
"48","338.5578814427745","15","true",,,,
"49","338.5578814427744","15","true",,,,
"50","345.2710851126931","15","true",,,,
