"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 04:25:39:821 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0","0.5","0.5","47822","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","0","172","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","1.9657298525172147","15","true",,,,
"2","3.385263529945995","15","true",,,,
"3","4.339043930406746","15","true",,,,
"4","5.374781790295685","15","true",,,,
"5","17.8169117947391","15","true",,,,
"6","31.06769291687172","15","true",,,,
"7","35.47502759996399","15","true",,,,
"8","48.612235809720566","15","true",,,,
"9","55.50798495445466","15","true",,,,
"10","56.913766884374766","15","true",,,,
"11","67.71858970097226","15","true",,,,
"12","77.95861807380594","15","true",,,,
"13","77.86286277067289","15","true",,,,
"14","84.61617196985827","15","true",,,,
"15","90.0273464947866","15","true",,,,
"16","100.71850351676103","15","true",,,,
"17","105.84014479286624","15","true",,,,
"18","113.97176049775076","15","true",,,,
"19","119.16261442132603","15","true",,,,
"20","126.39399861288634","15","true",,,,
"21","133.15288147682134","15","true",,,,
"22","142.06173615014117","15","true",,,,
"23","143.04536022816743","15","true",,,,
"24","146.89647151678219","15","true",,,,
"25","146.89647151678201","15","true",,,,
"26","148.7009158946329","15","true",,,,
"27","150.58621143287348","15","true",,,,
"28","154.6553699162367","15","true",,,,
"29","155.0450917455624","15","true",,,,
"30","155.04509174556225","15","true",,,,
"31","155.04509174556247","15","true",,,,
"32","155.04509174556242","15","true",,,,
"33","155.0450917455622","15","true",,,,
"34","155.0450917455626","15","true",,,,
"35","155.04509174556227","15","true",,,,
"36","156.14258831358586","15","true",,,,
"37","155.75286648426018","15","true",,,,
"38","156.14258831358595","15","true",,,,
"39","156.14258831358606","15","true",,,,
"40","156.9307242213202","15","true",,,,
"41","157.47630636795384","15","true",,,,
"42","157.47630636795384","15","true",,,,
"43","152.55140966658772","15","true",,,,
"44","152.55140966658794","15","true",,,,
"45","156.52906940336152","15","true",,,,
"46","157.47630636795373","15","true",,,,
"47","158.6272933282258","15","true",,,,
"48","153.27943802760183","15","true",,,,
"49","152.97175412097704","15","true",,,,
"50","151.47491699424899","15","true",,,,
