"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 04:08:42:085 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0.5","500","0","0.5","0","47822","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-2.1","276","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","1.9657298525172147","15","true",,,,
"2","-1.040928703153321","15","true",,,,
"3","-1.8470400517285572","15","true",,,,
"4","-0.6470387205764367","15","true",,,,
"5","2.1049669963921445","15","true",,,,
"6","1.9848710109441483","15","true",,,,
"7","2.5462960598878865","15","true",,,,
"8","2.9765626746541547","15","true",,,,
"9","6.196338991170838","15","true",,,,
"10","3.4722492137921024","15","true",,,,
"11","6.552496910597466","15","true",,,,
"12","10.416372634583837","15","true",,,,
"13","12.027131120862705","15","true",,,,
"14","15.761216457169482","15","true",,,,
"15","10.845467996490267","15","true",,,,
"16","13.228452746391094","15","true",,,,
"17","18.563397349528266","15","true",,,,
"18","21.056967418024247","15","true",,,,
"19","26.912800684089227","15","true",,,,
"20","30.956001278413115","15","true",,,,
"21","35.218223627588735","15","true",,,,
"22","43.48839021584523","15","true",,,,
"23","70.93835005190624","15","true",,,,
"24","85.50308751637172","15","true",,,,
"25","87.42282530896782","15","true",,,,
"26","94.5677091493416","15","true",,,,
"27","99.82857466425996","15","true",,,,
"28","104.99783053369939","15","true",,,,
"29","120.56468666132751","15","true",,,,
"30","136.9675627776021","15","true",,,,
"31","141.38318978748197","15","true",,,,
"32","139.28406159001688","15","true",,,,
"33","160.82806862645265","15","true",,,,
"34","149.0495570710277","15","true",,,,
"35","141.51159610144572","15","true",,,,
"36","161.54415099812672","15","true",,,,
"37","165.15258651736434","15","true",,,,
"38","176.5229816400753","15","true",,,,
"39","194.59471859306956","15","true",,,,
"40","206.20635773748734","15","true",,,,
"41","210.9335292833333","15","true",,,,
"42","226.3303299431276","15","true",,,,
"43","233.6120892670812","15","true",,,,
"44","250.4852083532292","15","true",,,,
"45","247.94201764490168","15","true",,,,
"46","241.5730035730983","15","true",,,,
"47","245.1813501610683","15","true",,,,
"48","249.0812972685229","15","true",,,,
"49","254.0761369002711","15","true",,,,
"50","265.16370762714536","15","true",,,,
