"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 03:20:59:715 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0","0","0","64001","1"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-7.9","12","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","8.15459517801903","15","true",,,,
"2","6.6299457671540445","15","true",,,,
"3","4.8348972454904695","15","true",,,,
"4","3.61176713421417","15","true",,,,
"5","2.9430992736861876","15","true",,,,
"6","4.002228045849053","15","true",,,,
"7","3.3633378575597197","15","true",,,,
"8","4.442411599854992","15","true",,,,
"9","3.5709354626445218","15","true",,,,
"10","3.505388102619525","15","true",,,,
"11","5.095596025072045","15","true",,,,
"12","4.186950983304364","15","true",,,,
"13","3.564155325843412","15","true",,,,
"14","3.0732810565971147","15","true",,,,
"15","4.771624412693715","15","true",,,,
"16","4.941653935792569","15","true",,,,
"17","4.008870027936339","15","true",,,,
"18","3.342872272819005","15","true",,,,
"19","5.092799247382298","15","true",,,,
"20","6.952073750489376","15","true",,,,
"21","5.5875238051881935","15","true",,,,
"22","6.462390338077161","15","true",,,,
"23","3.910333959110909","15","true",,,,
"24","9.5316560298879","15","true",,,,
"25","6.832345388496896","15","true",,,,
"26","3.438917839691382","15","true",,,,
"27","-4.356080107347981","15","true",,,,
"28","-1.9772736860391635","15","true",,,,
"29","1.8114937283886043","15","true",,,,
"30","4.75940823141862","15","true",,,,
"31","3.4360853137329572","15","true",,,,
"32","1.5059985131027722","15","true",,,,
"33","0.1188097947479023","15","true",,,,
"34","-3.6782759877752587","15","true",,,,
"35","-2.0012440299103704","15","true",,,,
"36","-4.258674150094028","15","true",,,,
"37","0.5610339350533761","15","true",,,,
"38","-2.1067278663823257","15","true",,,,
"39","-6.312016570681302","15","true",,,,
"40","-2.0194548052327854","15","true",,,,
"41","3.9200354460276956","15","true",,,,
"42","10.160203550224699","15","true",,,,
"43","11.510378827568186","15","true",,,,
"44","2.3885366106702164","15","true",,,,
"45","0.4049540104808565","15","true",,,,
"46","10.528825093849312","15","true",,,,
"47","10.607270488188574","15","true",,,,
"48","7.181997670904082","15","true",,,,
"49","8.179166972105012","15","true",,,,
"50","11.46122902743969","15","true",,,,
