"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 10:27:47:776 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0.25","500","0.25","0.25","0.25","98424","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-6.5","99","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","-5.0208013539212395","15","true",,,,
"2","-3.468714835502104","15","true",,,,
"3","-3.4757628140310866","15","true",,,,
"4","-2.177826603253604","15","true",,,,
"5","-3.777403858823734","15","true",,,,
"6","-2.1695381734636925","15","true",,,,
"7","0.7167052596894347","15","true",,,,
"8","2.681404721254736","15","true",,,,
"9","6.824236467487352","15","true",,,,
"10","6.049875049258335","15","true",,,,
"11","5.305534671942076","15","true",,,,
"12","7.457130700168405","15","true",,,,
"13","8.420988766520454","15","true",,,,
"14","10.341175160889692","15","true",,,,
"15","10.497748466457738","15","true",,,,
"16","15.568095569602757","15","true",,,,
"17","15.837180498865038","15","true",,,,
"18","17.29099557496896","15","true",,,,
"19","17.499636937752644","15","true",,,,
"20","18.59944951266724","15","true",,,,
"21","23.813052224293074","15","true",,,,
"22","29.35847305825738","15","true",,,,
"23","31.332930907743275","15","true",,,,
"24","32.02428655134304","15","true",,,,
"25","38.74855018234508","15","true",,,,
"26","37.97695940199001","15","true",,,,
"27","40.65938736246755","15","true",,,,
"28","38.729784581710575","15","true",,,,
"29","41.44706682248383","15","true",,,,
"30","40.076640290265544","15","true",,,,
"31","43.14375265117392","15","true",,,,
"32","54.6028820320216","15","true",,,,
"33","48.958281741241755","15","true",,,,
"34","56.30251916810979","15","true",,,,
"35","59.122560045700645","15","true",,,,
"36","62.43894132811878","15","true",,,,
"37","64.22089670297878","15","true",,,,
"38","63.002240857883","15","true",,,,
"39","63.002240857883024","15","true",,,,
"40","71.15176131902125","15","true",,,,
"41","73.38882250544901","15","true",,,,
"42","79.35403965723646","15","true",,,,
"43","83.04157929826866","15","true",,,,
"44","82.88450493424841","15","true",,,,
"45","83.46445143320032","15","true",,,,
"46","87.3955925908336","15","true",,,,
"47","89.42840012231136","15","true",,,,
"48","86.38318764811025","15","true",,,,
"49","89.8343781332386","15","true",,,,
"50","89.80665941006215","15","true",,,,
