"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 08:59:45:837 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0.5","0.5","0","98424","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-6.5","267","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","-5.0208013539212395","15","true",,,,
"2","-4.436586814623337","15","true",,,,
"3","-3.0879743497836354","15","true",,,,
"4","-1.0697697299604325","15","true",,,,
"5","0.45623898978172095","15","true",,,,
"6","3.7372564255338525","15","true",,,,
"7","7.956808828653999","15","true",,,,
"8","10.663132071244227","15","true",,,,
"9","13.425522792789511","15","true",,,,
"10","17.220759840216925","15","true",,,,
"11","22.44885099362134","15","true",,,,
"12","17.65937437714132","15","true",,,,
"13","23.93778536682529","15","true",,,,
"14","27.796040456495074","15","true",,,,
"15","34.12403421557552","15","true",,,,
"16","39.402151217189434","15","true",,,,
"17","46.99735119195503","15","true",,,,
"18","53.825329038602874","15","true",,,,
"19","62.43501353678234","15","true",,,,
"20","65.840703065867","15","true",,,,
"21","76.92585558451495","15","true",,,,
"22","77.87345359165701","15","true",,,,
"23","89.59761115351557","15","true",,,,
"24","121.03746515823693","15","true",,,,
"25","131.55913017948902","15","true",,,,
"26","131.76497010650053","15","true",,,,
"27","141.5986259263977","15","true",,,,
"28","146.7220974982575","15","true",,,,
"29","147.44551505280617","15","true",,,,
"30","164.35102464902164","15","true",,,,
"31","165.10751219533515","15","true",,,,
"32","170.95594779797477","15","true",,,,
"33","185.12840341415097","15","true",,,,
"34","186.2421509381999","15","true",,,,
"35","186.2421509382","15","true",,,,
"36","193.25694229375344","15","true",,,,
"37","197.78779983463411","15","true",,,,
"38","202.13066242076349","15","true",,,,
"39","203.61817337794255","15","true",,,,
"40","208.2763403703506","15","true",,,,
"41","214.63962078619605","15","true",,,,
"42","215.97295411952925","15","true",,,,
"43","223.70194748156035","15","true",,,,
"44","225.32602622889087","15","true",,,,
"45","225.32602622889104","15","true",,,,
"46","222.12523580998476","15","true",,,,
"47","213.73450412957183","15","true",,,,
"48","224.51732037243715","15","true",,,,
"49","228.16065696446708","15","true",,,,
"50","242.3669768003099","15","true",,,,
