"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 02:51:44:877 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0","500","0","0","1","98424","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-6.5","12.7","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","-5.0208013539212395","15","true",,,,
"2","-3.378324059117171","15","true",,,,
"3","-3.2554289639977587","15","true",,,,
"4","-5.25202462000314","15","true",,,,
"5","-6.154629332496218","15","true",,,,
"6","-4.519356709219526","15","true",,,,
"7","-4.449828882594059","15","true",,,,
"8","-4.061137315061842","15","true",,,,
"9","-4.06113731506184","15","true",,,,
"10","-3.443062618203829","15","true",,,,
"11","-2.5766961629927545","15","true",,,,
"12","-2.65881235439764","15","true",,,,
"13","-2.658812354397638","15","true",,,,
"14","-2.7466371561867238","15","true",,,,
"15","-1.9775354196405286","15","true",,,,
"16","-2.8192482830713135","15","true",,,,
"17","-2.81924828307131","15","true",,,,
"18","-2.8192482830713104","15","true",,,,
"19","-3.0869250507480785","15","true",,,,
"20","-2.1915611404436985","15","true",,,,
"21","-2.058660182668213","15","true",,,,
"22","2.8807450782650634","15","true",,,,
"23","2.5854154079353884","15","true",,,,
"24","2.2534407225617077","15","true",,,,
"25","1.4494933948915003","15","true",,,,
"26","0.9337853271376991","15","true",,,,
"27","2.5303392917000647","15","true",,,,
"28","2.2091271704879403","15","true",,,,
"29","1.5139212250276917","15","true",,,,
"30","3.001839675253753","15","true",,,,
"31","3.297169345583425","15","true",,,,
"32","3.2971693455834203","15","true",,,,
"33","3.7329557167911074","15","true",,,,
"34","6.091219472943013","15","true",,,,
"35","7.386553744647955","15","true",,,,
"36","7.375321942931759","15","true",,,,
"37","8.516184481777918","15","true",,,,
"38","9.601439535472458","15","true",,,,
"39","8.056067691672247","15","true",,,,
"40","7.922212517792084","15","true",,,,
"41","7.337538997325606","15","true",,,,
"42","8.97378345479494","15","true",,,,
"43","10.915033975671863","15","true",,,,
"44","11.442699755956415","15","true",,,,
"45","11.452800766057418","15","true",,,,
"46","11.621843034772708","15","true",,,,
"47","11.898004646693085","15","true",,,,
"48","11.559602961678218","15","true",,,,
"49","12.19358152749908","15","true",,,,
"50","10.42862182628841","15","true",,,,
