"export-plot data (NetLogo 6.4.0)"
"model.nlogo"
"11/21/2024 10:17:32:993 +0000"

"MODEL SETTINGS"
"randomised","number-of-agents","popularity","belief-local","chronological","seed","belief-global"
"0.5","500","0.5","0","0","98424","0"

"""Global Echo Chamber Eval"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","50","-9.5","93","true","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","50"
"""pen-1""","true","0","1","6","0"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true",,,,
"1","-5.0208013539212395","15","true",,,,
"2","-4.732961510896659","15","true",,,,
"3","-3.9137273411103757","15","true",,,,
"4","-5.010873403481979","15","true",,,,
"5","-7.744269250001558","15","true",,,,
"6","-8.507333652122066","15","true",,,,
"7","-7.946185594225788","15","true",,,,
"8","-8.47769814716692","15","true",,,,
"9","-8.267826588876066","15","true",,,,
"10","-7.5108646328615745","15","true",,,,
"11","-5.243976330608743","15","true",,,,
"12","-4.4525657436399895","15","true",,,,
"13","-4.057969955522086","15","true",,,,
"14","-5.064001064702718","15","true",,,,
"15","-6.892742332163436","15","true",,,,
"16","-2.2414201721713005","15","true",,,,
"17","2.684813954401696","15","true",,,,
"18","3.1546812678427125","15","true",,,,
"19","0.2135421935549789","15","true",,,,
"20","-2.857194927128473","15","true",,,,
"21","-3.09764530402756","15","true",,,,
"22","-1.642533634453231","15","true",,,,
"23","7.566759691685619","15","true",,,,
"24","11.160750814954005","15","true",,,,
"25","9.265045649592071","15","true",,,,
"26","10.45838959428501","15","true",,,,
"27","8.861409907400084","15","true",,,,
"28","8.211561438963804","15","true",,,,
"29","15.170369413172775","15","true",,,,
"30","21.13588773980664","15","true",,,,
"31","16.434167710657213","15","true",,,,
"32","10.395095044966405","15","true",,,,
"33","12.059046626508861","15","true",,,,
"34","19.348508830573014","15","true",,,,
"35","26.83549795616025","15","true",,,,
"36","26.333027769372695","15","true",,,,
"37","40.30422383153718","15","true",,,,
"38","33.82526257140896","15","true",,,,
"39","31.244464596031886","15","true",,,,
"40","29.81357343452323","15","true",,,,
"41","52.300216447753094","15","true",,,,
"42","56.821035674399724","15","true",,,,
"43","62.57370737038464","15","true",,,,
"44","73.33229317207787","15","true",,,,
"45","83.95037931177262","15","true",,,,
"46","89.8299008206167","15","true",,,,
"47","62.474155573384344","15","true",,,,
"48","73.238752532009","15","true",,,,
"49","56.55296003248383","15","true",,,,
"50","55.52451644712115","15","true",,,,
